,FIGHTER,KD,STR,TD,SUB,WEIGHT_CLASS,METHOD,ROUND,TIME
1402,"Alexander Volkanovski
Max Holloway","0
0","157
134","0
0","0
0",Featherweight,U-DEC,5,5:00
1403,"Amanda Nunes
Germaine de Randamie","0
0","79
40","8
0","2
1",Women's Bantamweight,U-DEC,5,5:00
1404,"Marlon Moraes
Jose Aldo","0
0","59
58","1
0","0
0",Bantamweight,S-DEC,3,5:00
1405,"Petr Yan
Urijah Faber","3
0","54
18","2
0","0
0",Bantamweight,"KO/TKO
Kick",3,0:43
1406,"Geoff Neal
Mike Perry","1
0","15
5","0
0","0
0",Welterweight,"KO/TKO
Punches",1,1:30
1407,"Irene Aldana
Ketlen Vieira","1
0","26
20","0
0","0
0",Women's Bantamweight,"KO/TKO
Punch",1,4:51
1408,"Omari Akhmedov
Ian Heinisch","0
0","55
53","2
3","0
0",Middleweight,U-DEC,3,5:00
1409,"Matt Brown
Ben Saunders","0
0","30
12","2
0","0
4",Welterweight,"KO/TKO
Punches",2,4:55
1410,"Chase Hooper
Daniel Teymur","0
0","20
2","1
0","2
1",Featherweight,"KO/TKO
Elbows",1,4:34
1411,"Brandon Moreno
Kai Kara-France","0
0","91
82","0
0","0
0",Flyweight,U-DEC,3,5:00
1412,"Jessica Eye
Viviane Araujo","0
0","98
56","0
2","0
0",Women's Flyweight,U-DEC,3,5:00
1413,"Punahele Soriano
Oskar Piechota","2
0","26
8","1
0","0
0",Middleweight,"KO/TKO
Punch",1,3:17
1414,"Jairzinho Rozenstruik
Alistair Overeem","1
0","89
74","0
2","0
0",Heavyweight,"KO/TKO
Punch",5,4:56
1415,"Marina Rodriguez
Cynthia Calvillo","0
0","56
78","0
3","0
0",Women's Strawweight,M-DEC,3,5:00
1416,"Ben Rothwell
Stefan Struve","1
0","58
53","0
0","0
0",Heavyweight,"KO/TKO
Punches",2,4:57
1417,"Aspen Ladd
Yana Kunitskaya","1
0","47
47","2
0","0
0",Women's Bantamweight,"KO/TKO
Punches",3,0:33
1418,"Cody Stamann
Song Yadong","0
0","41
30","5
0","0
0",Bantamweight,M-DEC,3,5:00
1419,"Rob Font
Ricky Simon","0
0","90
59","1
6","0
0",Bantamweight,U-DEC,3,5:00
1420,"Tim Means
Thiago Alves","1
0","23
13","0
0","1
0",Welterweight,"SUB
Guillotine Choke",1,2:38
1421,"Billy Quarantillo
Jacob Kilburn","0
0","74
3","1
0","5
0",Featherweight,"SUB
Triangle Choke",2,3:18
1422,"Bryce Mitchell
Matt Sayles","0
0","6
2","1
0","1
0",Featherweight,"SUB
Twister",1,4:20
1423,"Joe Solecki
Matt Wiman","0
0","56
10","4
0","0
0",Lightweight,U-DEC,3,5:00
1424,"Virna Jandiroba
Mallory Martin","0
0","7
9","3
0","3
0",Women's Strawweight,"SUB
Rear Naked Choke",2,1:16
1425,"Makhmud Muradov
Trevor Smith","1
0","91
39","1
0","1
0",Middleweight,"KO/TKO
Punch",3,4:09
1426,"Jan Blachowicz
Jacare Souza","0
0","71
20","0
0","0
0",Light Heavyweight,S-DEC,5,5:00
1427,"Mauricio Rua
Paul Craig","0
0","25
51","1
1","0
1",Light Heavyweight,S-DEC,3,5:00
1428,"Charles Oliveira
Jared Gordon","1
0","10
7","0
0","0
0",Lightweight,"KO/TKO
Punch",1,1:26
1429,"Andre Muniz
Antonio Arroyo","0
0","22
29","3
1","2
0",Middleweight,U-DEC,3,5:00
1430,"Wellington Turman
Markus Perez","0
0","48
49","2
0","0
0",Middleweight,U-DEC,3,5:00
1431,"James Krause
Sergio Moraes","3
0","102
41","0
1","0
0",Welterweight,"KO/TKO
Punch",3,4:19
1432,"Ricardo Ramos
Eduardo Garagorri","0
0","10
6","2
0","1
0",Featherweight,"SUB
Rear Naked Choke",1,3:57
1433,"Francisco Trinaldo
Bobby Green","0
0","31
50","1
2","1
0",Lightweight,U-DEC,3,5:00
1434,"Randy Brown
Warlley Alves","0
0","16
3","1
3","1
2",Welterweight,"SUB
Triangle Choke",2,1:22
1435,"Douglas Silva de Andrade
Renan Barao","0
0","74
58","0
2","0
0",Featherweight,U-DEC,3,5:00
1436,"Ariane Lipski
Isabela de Padua","1
0","31
15","0
2","1
1",Women's Flyweight,U-DEC,3,5:00
1437,"Tracy Cortez
Vanessa Melo","0
0","79
40","2
0","0
0",Women's Bantamweight,U-DEC,3,5:00
1438,"Zabit Magomedsharipov
Calvin Kattar","0
0","96
80","1
0","0
0",Featherweight,U-DEC,3,5:00
1439,"Alexander Volkov
Greg Hardy","0
0","86
46","0
0","0
0",Heavyweight,U-DEC,3,5:00
1440,"Danny Roberts
Zelim Imadaev","1
0","37
28","1
1","0
0",Welterweight,"KO/TKO
Punch",2,4:54
1441,"Ed Herman
Khadis Ibragimov","0
0","81
53","0
2","0
0",Light Heavyweight,U-DEC,3,5:00
1442,"Anthony Rocco Martin
Ramazan Emeev","0
0","41
30","0
0","2
0",Welterweight,U-DEC,3,5:00
1443,"Shamil Gamzatov
Klidson Abreu","0
0","64
32","0
1","0
0",Light Heavyweight,S-DEC,3,5:00
1444,"Magomed Ankalaev
Dalcha Lungiambula","1
0","44
6","1
0","0
0",Light Heavyweight,"KO/TKO
Kick",3,0:29
1445,"Rustam Khabilov
Sergey Khandozhko","0
0","12
25","4
0","0
0",Welterweight,U-DEC,3,5:00
1446,"Karl Roberson
Roman Kopylov","0
0","43
37","1
0","1
0",Middleweight,"SUB
Rear Naked Choke",3,4:01
1447,"David Zawada
Abubakar Nurmagomedov","0
0","2
4","0
1","2
0",Welterweight,"SUB
Triangle Choke",1,2:50
1448,"Roosevelt Roberts
Alexander Yakovlev","0
0","28
20","0
3","0
0",Lightweight,U-DEC,3,5:00
1449,"Pannie Kianzad
Jessica-Rose Clark","0
0","98
65","0
0","0
0",Women's Bantamweight,U-DEC,3,5:00
1450,"Davey Grant
Grigory Popov","0
0","30
35","6
0","0
0",Bantamweight,S-DEC,3,5:00
1451,"Jorge Masvidal
Nate Diaz","2
0","112
43","1
0","0
0",Welterweight,KO/TKO,3,5:00
1452,"Darren Till
Kelvin Gastelum","0
0","36
40","1
1","0
0",Middleweight,S-DEC,3,5:00
1453,"Stephen Thompson
Vicente Luque","1
0","138
77","0
0","0
0",Welterweight,U-DEC,3,5:00
1454,"Derrick Lewis
Blagoy Ivanov","0
0","31
20","1
3","0
1",Heavyweight,S-DEC,3,5:00
1455,"Kevin Lee
Gregor Gillespie","1
0","21
9","0
0","0
0",Lightweight,"KO/TKO
Kick",1,2:47
1456,"Corey Anderson
Johnny Walker","1
0","22
1","1
0","0
0",Light Heavyweight,"KO/TKO
Punches",1,2:07
1457,"Shane Burgos
Makwan Amirkhani","1
0","105
22","0
3","0
1",Featherweight,"KO/TKO
Punch",3,4:32
1458,"Edmen Shahbazyan
Brad Tavares","2
0","14
3","0
0","0
0",Middleweight,"KO/TKO
Kick",1,2:27
1459,"Jairzinho Rozenstruik
Andrei Arlovski","1
0","5
4","0
0","0
0",Heavyweight,"KO/TKO
Punch",1,0:29
1460,"Katlyn Chookagian
Jennifer Maia","0
0","73
58","0
1","0
0",Women's Flyweight,U-DEC,3,5:00
1461,"Lyman Good
Chance Rencountre","1
0","68
23","0
0","0
0",Welterweight,"KO/TKO
Punch",3,2:03
1462,"Hakeem Dawodu
Julio Arce","0
0","55
32","0
1","0
0",Featherweight,S-DEC,3,5:00
1463,"Demian Maia
Ben Askren","0
0","69
63","0
4","1
0",Welterweight,"SUB
Rear Naked Choke",3,3:54
1464,"Stevie Ray
Michael Johnson","0
0","85
78","1
0","0
0",Lightweight,M-DEC,3,5:00
1465,"Beneil Dariush
Frank Camacho","0
0","13
3","2
0","1
0",Lightweight,"SUB
Rear Naked Choke",1,2:02
1466,"Ciryl Gane
Don'Tale Mayes","1
0","94
32","3
0","1
0",Heavyweight,"SUB
Heel Hook",3,4:46
1467,"Muslim Salikhov
Laureano Staropoli","0
0","63
42","3
0","0
0",Welterweight,U-DEC,3,5:00
1468,"Randa Markos
Ashley Yoder","0
0","78
44","0
2","0
0",Women's Strawweight,S-DEC,3,5:00
1469,"Rafael Fiziev
Alex White","0
0","66
55","1
0","0
0",Lightweight,U-DEC,3,5:00
1470,"Movsar Evloev
Enrique Barzola","0
0","71
78","4
1","0
0",Featherweight,U-DEC,3,5:00
1471,"Sergei Pavlovich
Maurice Greene","1
0","20
8","0
0","0
0",Heavyweight,"KO/TKO
Punches",1,2:11
1472,"Loma Lookboonmee
Aleksandra Albu","0
0","99
65","1
1","0
0",Women's Strawweight,S-DEC,3,5:00
1473,"Raphael Pessoa
Jeff Hughes","1
0","39
34","0
0","0
0",Heavyweight,U-DEC,3,5:00
1474,"Dominick Reyes
Chris Weidman","1
0","8
3","0
1","0
0",Light Heavyweight,"KO/TKO
Punches",1,1:43
1475,"Yair Rodriguez
Jeremy Stephens","0
0","96
50","0
3","0
0",Featherweight,U-DEC,3,5:00
1476,"Greg Hardy
Ben Sosoli","0
0","54
26","0
0","0
0",Heavyweight,Overturned,3,5:00
1477,"Joe Lauzon
Jonathan Pearce","0
0","25
8","1
0","0
0",Lightweight,"KO/TKO
Punches",1,1:33
1478,"Maycee Barber
Gillian Robertson","0
0","34
12","0
0","0
0",Women's Flyweight,"KO/TKO
Punches",1,3:04
1479,"Darren Stewart
Deron Winn","0
0","57
29","1
6","0
0",Middleweight,S-DEC,3,5:00
1480,"Charles Rosa
Manny Bermudez","0
0","6
27","0
1","1
0",Featherweight,"SUB
Armbar",1,2:46
1481,"Molly McCann
Diana Belbita","0
0","113
98","5
1","1
0",Women's Flyweight,U-DEC,3,5:00
1482,"Sean Woodson
Kyle Bochniak","0
0","111
42","0
1","0
0",Featherweight,U-DEC,3,5:00
1483,"Randy Costa
Boston Salmon","2
0","22
12","0
0","0
0",Bantamweight,"KO/TKO
Punch",1,2:15
1484,"Sean Brady
Court McGee","1
0","119
107","2
0","0
0",Welterweight,U-DEC,3,5:00
1485,"Brendan Allen
Kevin Holland","0
0","10
22","2
1","4
1",Middleweight,"SUB
Rear Naked Choke",2,3:38
1486,"Tanner Boser
Daniel Spitz","0
0","93
32","0
0","0
0",Heavyweight,U-DEC,3,5:00
1487,"Joanna Jedrzejczyk
Michelle Waterson-Gomez","0
0","180
58","3
1","1
1",Women's Strawweight,U-DEC,5,5:00
1488,"Cub Swanson
Kron Gracie","0
0","135
86","0
0","0
0",Featherweight,U-DEC,3,5:00
1489,"Niko Price
James Vick","1
0","11
9","0
0","0
0",Welterweight,"KO/TKO
Kick",1,1:44
1490,"Amanda Ribas
Mackenzie Dern","0
0","74
20","2
0","0
0",Women's Strawweight,U-DEC,3,5:00
1491,"Matt Frevola
Luis Pena","0
0","48
51","4
1","0
2",Lightweight,S-DEC,3,5:00
1492,"Eryk Anders
Gerald Meerschaert","0
0","64
72","0
0","0
0",Middleweight,S-DEC,3,5:00
1493,"Ryan Spann
Devin Clark","0
0","17
17","0
2","1
0",Light Heavyweight,"SUB
Guillotine Choke",2,2:01
1494,"Mike Davis
Thomas Gifford","2
0","139
88","2
0","0
0",Lightweight,"KO/TKO
Punch",3,4:45
1495,"Alex Morono
Max Griffin","1
0","81
75","0
4","0
0",Welterweight,U-DEC,3,5:00
1496,"Deiveson Figueiredo
Tim Elliott","0
0","8
26","0
1","1
0",Flyweight,"SUB
Guillotine Choke",1,3:08
1497,"Marlon Vera
Andre Ewell","0
0","80
50","0
0","2
0",Bantamweight,"KO/TKO
Elbows",3,3:17
1498,"Miguel Baeza
Hector Aldana","1
0","35
8","1
0","0
0",Welterweight,"KO/TKO
Kick",2,2:32
1499,"Marvin Vettori
Andrew Sanchez","0
0","85
39","0
0","0
0",Middleweight,U-DEC,3,5:00
1500,"JJ Aldrich
Lauren Mueller","0
0","74
54","1
1","0
0",Women's Flyweight,U-DEC,3,5:00
1501,"Israel Adesanya
Robert Whittaker","2
0","40
32","0
0","0
0",Middleweight,"KO/TKO
Punch",2,3:33
1502,"Dan Hooker
Al Iaquinta","1
0","98
37","0
0","0
0",Lightweight,U-DEC,3,5:00
1503,"Serghei Spivac
Tai Tuivasa","0
0","23
21","6
0","1
0",Heavyweight,"SUB
Arm Triangle",2,3:14
1504,"Dhiego Lima
Luke Jumeau","0
0","32
24","2
0","0
0",Welterweight,S-DEC,3,5:00
1505,"Yorgan De Castro
Justin Tafa","1
0","4
6","0
0","0
0",Heavyweight,"KO/TKO
Punch",1,2:10
1506,"Jake Matthews
Rostem Akman","0
0","59
15","0
0","0
0",Welterweight,U-DEC,3,5:00
1507,"Callan Potter
Maki Pitolo","0
0","48
60","3
0","0
1",Welterweight,U-DEC,3,5:00
1508,"Brad Riddell
Jamie Mullarkey","0
0","91
36","1
3","0
1",Lightweight,U-DEC,3,5:00
1509,"Megan Anderson
Zarah Fairn","0
0","10
2","1
0","1
0",Women's Featherweight,"SUB
Triangle Choke",1,3:57
1510,"Ji Yeon Kim
Nadia Kassem","1
0","80
45","0
1","0
0",Women's Flyweight,"KO/TKO
Punch",2,4:59
1511,"Khalid Taha
Bruno Silva","1
0","38
20","0
2","1
0",Bantamweight,"Overturned
Arm Triangle",3,3:00
1512,"Jared Cannonier
Jack Hermansson","1
0","28
20","0
1","0
0",Middleweight,"KO/TKO
Punch",2,0:27
1513,"Mark Madsen
Danilo Belluardo","0
0","22
0","1
0","0
0",Lightweight,"KO/TKO
Punches",1,1:12
1514,"Gilbert Burns
Gunnar Nelson","0
0","30
20","1
0","1
0",Welterweight,U-DEC,3,5:00
1515,"Ion Cutelaba
Khalil Rountree Jr.","0
0","15
5","4
0","0
0",Light Heavyweight,"KO/TKO
Elbows",1,2:35
1516,"Ovince Saint Preux
Michal Oleksiejczuk","0
0","14
37","1
0","1
0",Light Heavyweight,"SUB
Von Flue Choke",2,2:46
1517,"Nicolas Dalby
Alex Oliveira","0
0","31
18","1
3","0
0",Welterweight,U-DEC,3,5:00
1518,"John Phillips
Alen Amedovski","1
0","5
2","0
0","0
0",Middleweight,"KO/TKO
Punch",1,0:17
1519,"Makhmud Muradov
Alessio Di Chirico","0
0","54
36","0
0","0
0",Middleweight,U-DEC,3,5:00
1520,"Ismail Naurdiev
Siyar Bahadurzada","0
0","69
12","3
0","0
0",Welterweight,U-DEC,3,5:00
1521,"Giga Chikadze
Brandon Davis","0
0","59
34","1
3","0
0",Featherweight,S-DEC,3,5:00
1522,"Lina Lansberg
Macy Chiasson","0
0","21
26","2
0","0
0",Women's Bantamweight,U-DEC,3,5:00
1523,"Marc Diakiese
Lando Vannata","0
0","40
25","4
0","0
0",Lightweight,U-DEC,3,5:00
1524,"Jack Shore
Nohelin Hernandez","0
0","46
6","4
0","1
0",Bantamweight,"SUB
Rear Naked Choke",3,2:51
1525,"Yair Rodriguez
Jeremy Stephens","0
0","2
0","0
0","0
0",Featherweight,CNC,1,0:15
1526,"Carla Esparza
Alexa Grasso","0
0","44
45","4
0","0
1",Women's Strawweight,M-DEC,3,5:00
1527,"Brandon Moreno
Askar Askarov","1
0","34
30","1
4","0
0",Flyweight,S-DEC,3,5:00
1528,"Irene Aldana
Vanessa Melo","0
0","125
68","0
0","0
0",Women's Bantamweight,U-DEC,3,5:00
1529,"Steven Peterson
Martin Bravo","1
0","49
86","0
2","0
0",Featherweight,"KO/TKO
Spinning Back Fist",2,1:31
1530,"Jose Quinonez
Carlos Huachin","1
0","60
32","2
0","0
0",Bantamweight,U-DEC,3,5:00
1531,"Kyle Nelson
Marco Polo Reyes","0
0","12
6","0
0","0
0",Featherweight,"KO/TKO
Punch",1,1:36
1532,"Angela Hill
Ariane Carnelossi","0
0","92
72","0
0","0
0",Women's Strawweight,"KO/TKO
Elbow",3,1:56
1533,"Sergio Pettis
Tyson Nam","0
0","96
40","0
0","0
0",Flyweight,U-DEC,3,5:00
1534,"Paul Craig
Vinicius Moreira","1
0","18
1","1
0","1
0",Light Heavyweight,"SUB
Rear Naked Choke",1,3:19
1535,"Bethe Correia
Sijara Eubanks","0
0","59
77","0
1","0
0",Women's Bantamweight,U-DEC,3,5:00
1536,"Claudio Puelles
Marcos Mariano","0
0","22
2","4
0","2
0",Lightweight,U-DEC,3,5:00
1537,"Justin Gaethje
Donald Cerrone","1
0","40
17","0
0","0
0",Lightweight,"KO/TKO
Punch",1,4:18
1538,"Glover Teixeira
Nikita Krylov","0
0","43
47","1
2","2
1",Light Heavyweight,S-DEC,3,5:00
1539,"Todd Duffee
Jeff Hughes","1
0","30
16","1
0","0
0",Heavyweight,CNC,1,4:03
1540,"Tristan Connelly
Michel Pereira","0
0","64
32","0
2","1
0",Welterweight,U-DEC,3,5:00
1541,"Uriah Hall
Antonio Carlos Junior","1
0","34
22","0
3","0
0",Middleweight,S-DEC,3,5:00
1542,"Misha Cirkunov
Jimmy Crute","0
0","6
21","1
0","1
0",Light Heavyweight,"SUB
Peruvian Necktie",1,3:38
1543,"Augusto Sakai
Marcin Tybura","1
0","15
6","0
0","0
0",Heavyweight,"KO/TKO
Punches",1,0:59
1544,"Miles Johns
Cole Smith","0
0","31
11","1
1","0
0",Bantamweight,S-DEC,3,5:00
1545,"Hunter Azure
Brad Katona","0
0","41
21","0
3","0
0",Bantamweight,U-DEC,3,5:00
1546,"Chas Skelly
Jordan Griffin","0
0","21
37","1
1","3
2",Featherweight,U-DEC,3,5:00
1547,"Louis Smolka
Ryan MacDonald","1
0","59
30","0
0","0
0",Bantamweight,"KO/TKO
Punch",1,4:43
1548,"Austin Hubbard
Kyle Prepolec","0
0","51
44","3
0","0
0",Lightweight,U-DEC,3,5:00
1549,"Khabib Nurmagomedov
Dustin Poirier","0
0","22
12","7
0","2
1",Lightweight,"SUB
Rear Naked Choke",3,2:06
1550,"Paul Felder
Edson Barboza","0
0","56
60","0
1","0
0",Lightweight,S-DEC,3,5:00
1551,"Islam Makhachev
Davi Ramos","1
0","43
7","0
0","0
0",Lightweight,U-DEC,3,5:00
1552,"Curtis Blaydes
Shamil Abdurakhimov","0
0","25
3","5
0","0
0",Heavyweight,"KO/TKO
Elbow",2,2:22
1553,"Diego Ferreira
Mairbek Taisumov","0
0","109
51","0
0","0
0",Lightweight,U-DEC,3,5:00
1554,"Joanne Wood
Andrea Lee","0
0","101
61","2
3","0
0",Women's Flyweight,S-DEC,3,5:00
1555,"Zubaira Tukhugov
Lerone Murphy","1
0","22
28","6
0","0
2",Featherweight,S-DEC,3,5:00
1556,"Sarah Moras
Liana Jojua","0
0","44
19","0
2","1
0",Women's Bantamweight,"KO/TKO
Elbows",3,2:26
1557,"Ottman Azaitar
Teemu Packalen","1
0","27
8","0
0","0
0",Lightweight,"KO/TKO
Punch",1,3:33
1558,"Belal Muhammad
Takashi Sato","0
0","49
29","2
1","1
0",Welterweight,"SUB
Rear Naked Choke",3,1:55
1559,"Muslim Salikhov
Nordine Taleb","1
0","10
6","0
0","0
0",Welterweight,"KO/TKO
Punch",1,4:26
1560,"Omari Akhmedov
Zak Cummings","0
0","26
17","2
0","0
0",Middleweight,U-DEC,3,5:00
1561,"Don Madge
Fares Ziam","0
0","21
10","3
0","0
0",Lightweight,U-DEC,3,5:00
1562,"Zhang Weili
Jessica Andrade","1
0","29
4","0
0","0
0",Women's Strawweight,"KO/TKO
Punch",1,0:42
1563,"Li Jingliang
Elizeu Zaleski dos Santos","3
0","59
54","2
0","0
0",Welterweight,"KO/TKO
Punches",3,4:51
1564,"Kai Kara-France
Mark De La Rosa","1
0","91
60","1
1","0
0",Flyweight,U-DEC,3,5:00
1565,"Song Kenan
Derrick Krantz","0
0","58
33","0
3","0
1",Welterweight,U-DEC,3,5:00
1566,"Inoue Mizuki
Wu Yanan","0
0","93
123","0
0","0
0",Women's Flyweight,S-DEC,3,5:00
1567,"Anthony Hernandez
Junyong Park","0
0","59
81","6
0","1
0",Middleweight,"SUB
Anaconda Choke",2,4:39
1568,"Sumudaerji
Andre Soukhamthath","0
0","93
23","1
0","0
0",Bantamweight,U-DEC,3,5:00
1569,"Da-Un Jung
Khadis Ibragimov","0
0","81
88","0
1","1
0",Light Heavyweight,"SUB
Guillotine Choke",3,1:59
1570,"Damir Ismagulov
Thiago Moises","1
0","71
36","0
0","0
0",Lightweight,U-DEC,3,5:00
1571,"Alatengheili
Batgerel Danaa","0
0","36
85","3
0","0
0",Bantamweight,U-DEC,3,5:00
1572,"Karol Rosa
Lara Procopio","1
0","171
165","0
0","0
0",Women's Bantamweight,S-DEC,3,5:00
1573,"Stipe Miocic
Daniel Cormier","1
0","123
181","1
1","0
0",Heavyweight,"KO/TKO
Punches",4,4:09
1574,"Nate Diaz
Anthony Pettis","1
0","114
69","1
0","0
1",Welterweight,U-DEC,3,5:00
1575,"Paulo Costa
Yoel Romero","1
1","118
125","0
1","0
0",Middleweight,U-DEC,3,5:00
1576,"Sodiq Yusuff
Gabriel Benitez","1
0","34
24","0
0","0
0",Featherweight,"KO/TKO
Punch",1,4:14
1577,"Derek Brunson
Ian Heinisch","0
0","81
58","2
0","0
0",Middleweight,U-DEC,3,5:00
1578,"Khama Worthy
Devonte Smith","1
0","21
15","0
0","0
0",Lightweight,"KO/TKO
Punch",1,4:15
1579,"Cory Sandhagen
Raphael Assuncao","0
0","62
45","0
4","0
0",Bantamweight,U-DEC,3,5:00
1580,"Drakkar Klose
Christos Giagos","0
0","99
87","2
2","0
1",Lightweight,U-DEC,3,5:00
1581,"Casey Kenney
Manny Bermudez","0
0","43
37","2
3","1
0",Catch Weight,U-DEC,3,5:00
1582,"Hannah Cifers
Jodie Esquibel","0
0","70
43","1
3","1
0",Women's Strawweight,U-DEC,3,5:00
1583,"Kyung Ho Kang
Brandon Davis","1
0","50
77","3
1","0
0",Bantamweight,S-DEC,3,5:00
1584,"Sabina Mazo
Shana Dobson","0
0","108
33","4
0","0
0",Women's Flyweight,U-DEC,3,5:00
1585,"Valentina Shevchenko
Liz Carmouche","0
0","42
18","1
0","0
0",Women's Flyweight,U-DEC,5,5:00
1586,"Vicente Luque
Mike Perry","0
0","84
87","0
0","1
0",Welterweight,S-DEC,3,5:00
1587,"Eduardo Garagorri
Humberto Bandenay","0
0","65
32","1
4","0
0",Featherweight,U-DEC,3,5:00
1588,"Volkan Oezdemir
Ilir Latifi","2
0","64
18","0
1","0
0",Light Heavyweight,"KO/TKO
Punch",2,4:31
1589,"Rodolfo Vieira
Oskar Piechota","0
0","18
22","3
0","1
0",Middleweight,"SUB
Arm Triangle",2,4:26
1590,"Enrique Barzola
Bobby Moffett","0
0","83
90","3
0","0
0",Featherweight,S-DEC,3,5:00
1591,"Gilbert Burns
Aleksei Kunchenko","0
0","42
47","3
0","0
0",Welterweight,U-DEC,3,5:00
1592,"Ciryl Gane
Raphael Pessoa","0
0","15
7","0
0","1
0",Heavyweight,"SUB
Arm Triangle",1,4:12
1593,"Marina Rodriguez
Tecia Torres","0
0","84
41","1
0","1
0",Women's Strawweight,U-DEC,3,5:00
1594,"Rogerio Bontorin
Raulian Paiva","0
0","8
3","2
0","0
0",Flyweight,KO/TKO,1,2:56
1595,"Chris Gutierrez
Geraldo de Freitas","0
0","48
40","1
2","0
0",Bantamweight,S-DEC,3,5:00
1596,"Alex Da Silva
Kazula Vargas","0
0","17
20","3
0","0
0",Lightweight,U-DEC,3,5:00
1597,"Veronica Macedo
Polyana Viana","0
0","1
1","0
1","1
0",Women's Flyweight,"SUB
Armbar",1,1:09
1598,"Colby Covington
Robbie Lawler","0
0","179
78","10
0","0
0",Welterweight,U-DEC,5,5:00
1599,"Jim Miller
Clay Guida","0
0","2
2","0
0","1
0",Lightweight,"SUB
Guillotine Choke",1,0:58
1600,"Nasrat Haqparast
Joaquim Silva","1
0","21
15","0
0","0
0",Lightweight,"KO/TKO
Punch",2,0:36
1601,"Gerald Meerschaert
Trevin Giles","0
0","6
8","1
1","1
0",Middleweight,"SUB
Guillotine Choke",3,1:49
1602,"Scott Holtzman
Dong Hyun Ma","1
0","44
16","1
1","0
0",Lightweight,KO/TKO,2,5:00
1603,"Kennedy Nzechukwu
Darko Stosic","0
0","50
60","0
4","0
0",Light Heavyweight,U-DEC,3,5:00
1604,"Mickey Gall
Salim Touahri","0
0","50
48","1
0","0
0",Welterweight,U-DEC,3,5:00
1605,"Antonina Shevchenko
Lucie Pudilova","0
0","16
6","0
1","3
0",Women's Flyweight,"SUB
Rear Naked Choke",2,1:20
1606,"Matt Schnell
Jordan Espinosa","0
0","3
5","0
0","1
0",Flyweight,"SUB
Triangle Choke",1,1:23
1607,"Lauren Murphy
Mara Romero Borella","1
0","24
22","0
1","0
0",Women's Flyweight,"KO/TKO
Knee",3,1:46
1608,"Claudio Silva
Cole Williams","0
0","32
2","1
0","1
0",Welterweight,"SUB
Neck Crank",1,2:35
1609,"Miranda Granger
Hannah Goldy","0
0","61
55","0
0","0
0",Women's Flyweight,U-DEC,3,5:00
1610,"Max Holloway
Frankie Edgar","0
0","129
96","0
1","0
0",Featherweight,U-DEC,5,5:00
1611,"Cristiane Justino
Felicia Spencer","0
0","122
38","0
0","0
0",Women's Featherweight,U-DEC,3,5:00
1612,"Geoff Neal
Niko Price","0
1","41
24","2
0","0
0",Welterweight,"KO/TKO
Punches",2,2:39
1613,"Arman Tsarukyan
Olivier Aubin-Mercier","0
0","47
23","2
0","0
0",Lightweight,U-DEC,3,5:00
1614,"Krzysztof Jotko
Marc-Andre Barriault","0
0","40
39","1
1","0
0",Middleweight,S-DEC,3,5:00
1615,"Viviane Araujo
Alexis Davis","0
0","67
68","2
0","0
0",Women's Flyweight,U-DEC,3,5:00
1616,"Hakeem Dawodu
Yoshinori Horie","1
0","80
39","0
0","0
0",Featherweight,"KO/TKO
Kick",3,4:09
1617,"Gavin Tucker
SeungWoo Choi","0
0","37
23","5
2","2
0",Featherweight,"SUB
Rear Naked Choke",3,3:17
1618,"Deiveson Figueiredo
Alexandre Pantoja","1
0","67
61","2
2","0
0",Flyweight,U-DEC,3,5:00
1619,"Gillian Robertson
Sarah Frota","0
0","29
9","2
0","0
0",Women's Flyweight,"KO/TKO
Elbows",2,4:13
1620,"Erik Koch
Kyle Stewart","0
0","37
23","4
0","0
0",Welterweight,U-DEC,3,5:00
1621,"Leon Edwards
Rafael Dos Anjos","0
0","92
81","3
0","0
0",Welterweight,U-DEC,5,5:00
1622,"Walt Harris
Aleksei Oleinik","1
0","4
1","0
0","0
0",Heavyweight,"KO/TKO
Punch",1,0:12
1623,"Greg Hardy
Juan Adams","0
0","36
3","0
0","0
0",Heavyweight,"KO/TKO
Punches",1,0:45
1624,"Dan Hooker
James Vick","1
0","22
7","0
0","0
0",Lightweight,"KO/TKO
Punch",1,2:33
1625,"Alexander Hernandez
Francisco Trinaldo","0
0","25
25","0
0","0
0",Lightweight,U-DEC,3,5:00
1626,"Andrei Arlovski
Ben Rothwell","0
0","152
70","0
0","0
0",Heavyweight,U-DEC,3,5:00
1627,"Alex Caceres
Steven Peterson","0
0","94
67","0
2","0
0",Featherweight,U-DEC,3,5:00
1628,"Raquel Pennington
Irene Aldana","0
0","47
52","1
0","0
0",Women's Bantamweight,S-DEC,3,5:00
1629,"Klidson Abreu
Sam Alvey","0
0","36
28","1
0","0
0",Light Heavyweight,U-DEC,3,5:00
1630,"Jennifer Maia
Roxanne Modafferi","0
0","83
29","0
0","0
0",Women's Flyweight,U-DEC,3,5:00
1631,"Ray Borg
Gabriel Silva","0
0","15
8","6
1","1
0",Bantamweight,U-DEC,3,5:00
1632,"Mario Bautista
Jin Soo Son","0
0","129
95","0
2","0
0",Bantamweight,U-DEC,3,5:00
1633,"Felipe Colares
Domingo Pilarte","0
0","23
11","2
2","0
1",Bantamweight,S-DEC,3,5:00
1634,"Germaine de Randamie
Aspen Ladd","1
0","4
0","0
0","0
0",Women's Bantamweight,"KO/TKO
Punch",1,0:16
